sentence,feat_ending,feat_strat_cnt,feat_command,feat_attack,feat_power,feat_distance,feat_indirect,score
눈이 좀 오더구나.,0,0,0,0,0,0,0,0.0
야. 지금 밖에 어때?,0,0,0,0,0,0,0,-0.5
별말씀을요. 그럼 오늘 하루도 즐거운 마음으로 시작하시기 바랍니다.,2,1,0,0,1,2,0,1.5
날씨도 춥고 습하고 공기는 더럽고. 밥도 창렬이고. 너도0 그냥 짜증난다.,0,0,0,2,0,0,0,-2.5
email_content 메일에 안내 된 일정을 내 업무 캘린더에 추가 할까요?,1,0,1,0,0,1,1,1.5
email_total 개의 새 메일 중 email_schedule 개의 메일이 내 업무와 관련되어 있는 것으로 분석됩니다.,2,0,0,0,2,2,0,2.0
너무 자주 봐서 신물이 난다.,0,0,0,1,0,0,0,-0.5
"방법을 찾으래도 뭐부터 해야 할지, 그럼 구글로 한국 인공지능 데이터를 찾아보기라도 할까요?",1,0,1,0,0,1,1,1.0
다른 참석자들의 스케줄을 확인한 결과 schedule_time 으로 변경 가능합니다.,2,0,0,0,2,2,0,2.0
다음 회의 일정을 공유하는 메일을 참석예정자들에게 보내려고 합니다.,2,0,0,0,1,2,0,1.5
네. 그럼 남은 금요일 오후 시간도 화이팅입니다.,2,0,0,0,1,1,0,1.5
잠시후 오후 5시부터 대회의실에서 인공지능 국제 표준화 관련 회의가 예정되어 있습니다.,2,0,0,0,2,2,0,2.0
좋은 생각이네요. 김산 연구원이 맡아서 준비해 줄 수 있어요?,1,0,1,0,0,1,1,1.5
검증 통과까지는 여러 단계를 거쳐야겠네요.,1,0,0,0,1,1,0,1.0
두 사람에게 맡기고 있기는 한데요.,1,0,0,0,0,1,0,1.0
그냥 외출하지 마세요. 방콕도 효과적인 전략입니다.,1,0,2,0,1,1,0,1.5
요청하신 검색어 입력 결과입니다.,2,1,0,0,2,2,0,2.0
지금은 그런 거 따질 때가 아닙니다. 데이터가 중요하기는 합니다만 지금은 당장에 땜빵할 수 있는 게 필요해요.,1,0,0,0,1,1,0,0.5
오늘 아침 미세먼지 농도가 높습니다. 출근길에 마스크는 착용하셨나요?,1,0,0,0,1,2,0,1.5
일정 관련해서 오늘 회의 참석자들에게 메일을 보내드리는 게 좋겠죠?,1,0,1,0,0,1,1,1.5
정량적인 방법을 대신 할 수 있는 방법을 찾아보는 걸로 하죠.,1,0,0,0,0,1,0,1.0
다행이네요. 잠시 기다려주시면 곧 회의 시작을 알려드릴게요.,1,1,1,0,0,2,0,2.0
점심에 간단히 죽을 드시고 소화제를 꼭 챙겨드시면 금방 좋아지실 거에요.,1,0,0,0,1,2,0,1.5
폭설임에도 미팅에 와주셔서 감사합니다.,2,1,0,0,0,2,0,2.5
오실 때 많이 추우셨죠?,2,0,0,0,0,2,0,1.5
